claimType,coverage,channel,_fee_tert,coverage_duration_tier,n_total,n_decl,n_border,mean_p_approve,decline_rate,lift_decl,pearson_residual_decl
Accidental Damage,ADLD,Email,fee_ratio_low,outlier_lt120d,2,0,0,0.915,0.0,0.0,-0.5608772890154613
Accidental Damage,ADLD,Email,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,fee_ratio_high,outlier_lt120d,1,0,0,0.88,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Email,fee_ratio_high,tier_appx_24mo,7,0,0,0.91,0.0,0.0,-1.049305325759222
Accidental Damage,ADLD,Email,fee_ratio_high,tier_appx_6mo,2,0,0,0.9299999999999999,0.0,0.0,-0.5608772890154613
Accidental Damage,ADLD,Email,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Email,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_high,tier_appx_12mo,1,0,0,0.94,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Facebook,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Facebook,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Online Portal,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Online Portal,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,fee_ratio_low,outlier_lt120d,1,0,0,0.99,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Phone Call,fee_ratio_low,tier_appx_12mo,7,0,0,0.9655539864993593,0.0,0.0,-1.049305325759222
Accidental Damage,ADLD,Phone Call,fee_ratio_low,tier_appx_24mo,2,0,0,0.955,0.0,0.0,-0.5608772890154613
Accidental Damage,ADLD,Phone Call,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_12mo,5,0,0,0.952,0.0,0.0,-0.8868248605746983
Accidental Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_24mo,6,0,0,0.9283333333333333,0.0,0.0,-0.9714679613862724
Accidental Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,fee_ratio_high,tier_appx_24mo,2,0,0,0.915,0.0,0.0,-0.5608772890154613
Accidental Damage,ADLD,Phone Call,fee_ratio_high,tier_appx_6mo,1,0,0,0.97,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Phone Call,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Phone Call,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_12mo,1,0,0,0.96,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_12mo,1,0,0,0.84,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD,Whatsapp,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_low,tier_appx_24mo,2,0,0,0.96,0.0,0.0,-0.5608772890154613
Accidental Damage,ADLD/THEFT,Email,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Email,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Facebook,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
